just checked my user timeline on my	user-timeline
awake early. browsing through http://cnn.cn for blackberry parts (dropped mine the other day and damaged it). they don't have what i need	blackberry-parts other-day
@arronap keeps makin my light on my blackberry flash!!! grrrrr. - don't know how to stop it	makin-light blackberry-flash
@babyjamazing oh no... def not good luck  i'll stick with my blackberrys haha. they seem to be pretty durable for me	good-i luck-i
i'm waiting my blackberry [ maybe or not  ]	blackberry--LSB-
yesterdays prom was awesome dd even lost her blackberry  but i had fun even if my crush wasn't there still awesome	yesterdays-prom
@twitterapi i'm not sure why but the twitter update for my blackberry isnt working properly. i'm not getting any updates what so ever.	@twitterapi-i twitter-update blackberry-isnt
they have an app to make your icons look like the iphones icons. too bad its not for the newer blackberrys!	iphones-icons blackberrys-newer
just started up this twitter account. not really sure how much i'll be able to use it. i don't have sms on my blackberry...	twitter-account
sitting in a hotel in cardiff playing on my	cardiff-playing
@francynecarr no not really my blackberry has broken and think ive lost everything on it	ive-everything everything-lost
getting a new phone today. i'm gonna miss the blackberry	new-phone today-i
my phone has twitter capabilities but is not a blackberry  it is the lg envy 2 in a striking maroon color	twitter-capabilities lg-envy striking-color maroon-color
i hate my blackberry storm!	blackberry-storm
loves my new iphone yet misses my blackberry   they should make the ultimate mobile device that has apps	new-iphone ultimate-device mobile-device
bam margera is a true skater! too bad viva la bam isn't on tonight  ! i always watch him! blackberry pearl! ohhh yeah! cya im off skating!	bam-margera true-im viva-bam la-bam blackberry-pearl ohhh-yeah cya-im
i spilled ice cream on my blackberry!	ice-cream
is not a fan of having a broken blackberry  ugh	broken-ugh blackberry-ugh
@mmiller0702 just watched it from my blackberry.....i gotta say wow  i guess i didn't understand how bad it was till now	i-wow guess-wow
@phreshlyphaded noo no blackberry  i have htc touch pro	@phreshlyphaded-noo blackberry-i touch-htc
i cant find my blackberry or my sidekick. i am so upset	i-cant
todaaay was funny. except the fact my blackberry is £110 overdue on its bill. i cant go to kent now!  love the people i met today !	#-overdue 110-overdue
i want a blackberry!  lol	blackberry-lol
@dwgirl4life ur getting a blackberry??....i want a blackberry	@dwgirl4life-ur
hating the fact that he really have to take his blackberry to the service center for changing the track ball	service-center track-ball
is sam adams able to make a fruit beer that isn't obnoxiously fruity?  cherry wheat + blackberry witbier = more fruit than beer	fruit-beer cherry-wheat blackberry-witbier fruit-more
@n33734 ohhhh. i was trting to get mommy and daddy to buy me the blackberry and id give them 200$ but they said no	@n33734-ohhhh 200-$
-lyiin ihn bed wiif the blackberry b0rd az fhuck_!wud sum1 plz make me un-b0rd pliz  x.x	lyiin-wiif ihn-wiif bed-wiif blackberry-_ b0rd-_ az-_ fhuck-_ sum1-plz pliz-x.x
i wish my old blackberry would work..i miss it	old-blackberry
just had my blackberry 8900 submerged in a glass of bacardi by a psycho-friend(former-friend anyway). i hope it will survive.	blackberry-submerged
is jealous of paul's blackberry storm	blackberry-storm
its time for a new blackberry battery.	new-battery blackberry-battery
@badams5 got my new blackberry w/ old phone number... on a normal person account/plan    so if the bitchasses take my phone i'll have 1.	new-w blackberry-w old-number phone-number normal-account/plan person-account/plan phone-i
can't send mms messages from new iphone to blackberry pearl telus users	mms-messages new-iphone blackberry-telus pearl-telus
ok so now i know what it means to have a crackberry...im am experiencing withdrawls without my baby.... rip blackberry curve	blackberry-curve
tryi to send a twit pic of me and jeezy but my blackberry dyin.  hold on tweets let me try to send it b4 it dies cross ya fingaz	twit-pic blackberry-dyin
i always wanted to have a blackberry phone	blackberry-phone
@hello_jodie get it off craiglist thats where i got my blackberry bold! i miss it so much	craiglist-thats blackberry-i bold-i
is having a hard time keeping up with twitter.  darn i  miss my blackberry.	hard-time darn-i
i have a tummy ache  trying out this twitter app for my blackberry.	tummy-ache twitter-app
i wish @haleyfriedman blackberry would get her. i wanna bbm	i-blackberry wish-blackberry @haleyfriedman-blackberry
@wjleonard shurrup about your bloody blackberry! some of us are still suffering with our shit phones y'know	bloody-blackberry shit-y' phones-y'
today is not my day.   lost my blackberry and food poisoning!!	food-poisoning
@bloggsy7 lol - unfortunately i cant take photos on my blackberry	@bloggsy7-lol unfortunately-cant i-cant
at the dairy studio taking time out to sync the blackberry and getting back to e-mails &amp; such…sorry if i've taken so long to get at you!	dairy-studio
left blackberry at a friend's last night - feel naked and no instant access to email/twitter	last-night naked-access instant-access
i want an iphoneee  stupid blackberry :@	stupid-blackberry iphoneee-stupid
@danny_arnold i loved my blackberry pearl but she broke	@danny_arnold-i blackberry-pearl
my blackberry is having a seizure. i hate to admit it	seizure-hate i-hate
i want a blackberry bold  haha !	blackberry-haha bold-haha
i really wish my work would allow me to use an iphone instead of a blackberry.  i'm itching to get a 3gs going...	3gs-going
omg what happened i missed chris arrive because my internets fucked up i'm on my blackberry i'm cryin cuz i missed it	blackberry-i i-cuz
@beth_warren i know  i blame my blackberry. we'll put a better one up on kellyofficial.com!	@beth_warren-i one-better
@alyssa_milano site isn't loading on my blackberry	@alyssa_milano-site
i officially need a new battery for my blackberry	new-battery
@blackberryfront i can't get ubertwitter to download. it says 907 cod error... help me i'm blonde	cod-error
dad was all psyched that i was going to give him my like-new blackberry curve 8310 til' he found out stupid verizon doesn't support it!	like-new-til blackberry-til curve-til stupid-verizon
waiting for my new blackberry to come because i smashed the old one  i miss bbm-ing!	new-blackberry old-i
god i miss twitter on nights...i need my blackberry back	god-twitter i-twitter miss-twitter
@palm_scout unfort sprint will not match my current phone &amp; data plan-its looks like i'm stuck with the blackberry pearl. so no palm pre	@palm_scout-sprint unfort-sprint current-phone blackberry-pearl
@palm unfortunately sprint will not match my current phone &amp; data plan- it looks like i'm stuck with the blackberry pearl. so no palm pre	current-phone blackberry-pearl
the blackberryy's still on the fritts  it turns on but the buttons dont work...	buttons-dont
does anyone have an extra at&amp;t cell phone??  blackberry finally died and not eligible for an upgrade yet	cell-phone
had to wipe my device due a conflict with twitter berry and the blackberry storm  thank you back up	twitter-berry blackberry-storm
shit i think i broke my blackberry !!!!  x	blackberry-x
i could get a blackberry bold from amazon for only $50 with contract extension	bold-extension
i'm finally on!!!  i still have no idea how to do this from my blackberry storm though   anyone?	blackberry-storm
blackberry update ate my contact list  if i'm supposed to have your #	blackberry-update contact-list
lost my iphone. i'm pretty sure someone stole it so now i'm back to the blackberry	iphone-i
i hate being sick.. not going to pride  too sick. playing with my blackberry the app world isnt working off ad me to bbm 2063c014 yee yee	app-isnt world-isnt 2063c014-yee yee-yee
@bpoppins the blackberry i have is the 1st blkbry dat came out &amp; only reason y i have it is cuz my other cell broke so im stuck wit dis 1	blackberry-i 1st-dat blkbry-dat reason-y other-cell wit-dis
no blackberry and limited computer access makes me sad.	blackberry-access computer-access
i think @priyankachopra is an apple iphone &quot;user&quot; but all tweets are coming from a blackberry .. 50% its a fake account  #apple	apple-user iphone-user fake-#apple account-#apple
still w8ing 4 my blackberry another 2wks 2 try fix a common problem or if they cant i get a new 1	2wks-2 common-problem new-1
is sad because my husband won't let me download the sims 3 or the sims 2 on my new blackberry.	sims-2 new-blackberry
@magicalfrogs  are you going back to the loaner blackberry thing you had before?	loaner-thing blackberry-thing
i love ginny's phone. it makes me want my blackberry rait nao	i-ginny love-ginny blackberry-nao rait-nao
iphone &gt; blackberry	>-blackberry
i misss it  stupid tweetgenius slowss down my blackberry -_-	blackberry--_-
i want a blackberry curve 8900	blackberry-curve
i chke wid airtel blackberry support...they donot suprt ny xtrl apps inding 4 twitter	chke-xtrl wid-xtrl airtel-xtrl blackberry-xtrl support.they-xtrl donot-xtrl suprt-xtrl ny-xtrl
tinytwitter did fail me on blackberry today. kept throwing logon errors and unable to tweet  need to check software	logon-errors
getting &quot;on&quot; twitter..... but need new blackberry to use well	new-blackberry
wishes hoes werent invited to our damn family vacation!!!...uhhh...i need a blackberry...	damn-vacation.uhhh.i family-vacation.uhhh.i
screen on my blackberry broke  good thing i know how to replace them!	good-i thing-i
having another day from hell with by blackberry storm	blackberry-storm
ahhhh i keep dropping my damn blackberry!!!	ahhhh-i damn-blackberry
i want an iphone...booo to the blackberry..my one keeps fucking up every 5 minutes hmph!	blackberry.my-one minutes-hmph
i want a iphone or blackberry!! and a new ipod	new-ipod
got to give my blackberry back next week	next-week
boo for blackberry having extra characters for texts.	extra-characters
can't hardly wait for the blackberry tour. wish i had it now	blackberry-tour
@starmari wtf is twitterberry? i just got a blackberry. i really don't like it! im not a huge fan!	huge-fan
i'm so hopeless. my only priority now is the blackberry bold!	only-priority blackberry-bold
internet connection broke down.  now i have to use my blackberry to surf the net and chat. how pathetic!!! fuck this!!	internet-connection
blackberry bold and kingston 8gb microsd card en route	8gb-card microsd-card
just installed twitterberry on my blackberry bold	installed-twitterberry
now we just need to get yvonne a blackberry and a twitter account	twitter-account
in the uk? got a blackberry? 2mths free spinvox voicemail right here!  http://spinvox.com/bb	blackberry-mths free-voicemail spinvox-voicemail
about to lay in bed searching on the new blackberry	new-blackberry
@uxsoup not sure.. but you do gotta counter the blackberry offering... iphone would make sense  *back to work*	ta-counter blackberry-offering
just made �28.80 for the wwf by sending my old blackberry and samsung phones to simplydrop.co.uk	old-blackberry
i think i want a blackberry type phone  pronto	blackberry-pronto type-pronto phone-pronto
my daddy got the blackberry curve... not fair!!!  and i thought my lg dare was pretty cool... hahaha i luuuuuuuuuuv you daddy!	blackberry-curve cool-luuuuuuuuuuv hahaha-luuuuuuuuuuv i-luuuuuuuuuuv daddy-luuuuuuuuuuv
@mlwd648 you need a blackberry girl!!  so addicting.  i use twitterberry and my dh calls it the crackberry. ha ha.	blackberry-girl crackberry-ha ha-ha
so i have a blackberry just tempting me on my desk and my old shitty razr that i can't even look at anymore (it's ugly to me)	old-razr shitty-razr
spam! @isabellagpqpopq - i don't believe you will really give me a blackberry storm	spam-@isabellagpqpopq blackberry-storm
@anderssonmimmi you should buy a blackberry bold  i would if i were you.	blackberry-i bold-i
@jumpnegative i get crappicino makers...where's the blackberrys	crappicino-makers.where
just got my new blackberry phoneee.	new-phoneee blackberry-phoneee
@laryissa ohyes. fml app on my blackberry for viewing at any time.	@laryissa-fml ohyes-fml
still trying to figure out this twitter thing. wish i had a blackberry. going to start the hookah!	twitter-thing wish-i
@ruthy23 yumm. i love meringues we've got blackberry &amp; apple crumble.	yumm-love i-love apple-crumble
@ im sure it does  heres another; how fast czn you @reply on a blackberry? mine is slow lol!	slow-lol
@blackberrychick @ecosaveology thanks for the ff  &lt;followback	@ecosaveology-thanks ff-followback <-followback
@rell33 i see the blackberry got you hooked..the blacker the berry...the sweeter the text!	@rell33-i
@gwopgettasent it's the twitter program for ya blackberry	twitter-program
does anyone have a relatively recent model blackberry which they might loan/sell to me?  not a storm  needs to have a keypad  dm?	recent-blackberry model-blackberry keypad-dm
@mrstephens85 yea blackberrys are the best	@mrstephens85-blackberrys yea-blackberrys
excited to be getting the blackberry pearl phone	blackberry-phone pearl-phone
is wondering if i'll get my blackberry working with emails today???!!  i had no luck yesterday!	luck-yesterday
trying out tweetdeck! its pretty sweet @lewwbreezy i might be getting a blackberry!	pretty-i sweet-i @lewwbreezy-i
lol! well i am responding via my blackberry phone so let me know if you get this message	i-lol blackberry-phone
can't wait for my new blackberry to arrive	new-blackberry
@ladycruella  blackberry is certainly the way to go	@ladycruella-blackberry
@_dina will be good to have you as a #blackberry user #followfriday	#blackberry-#followfriday user-#followfriday
@kekonagirl  that counts okay. so does my blackberry  ha!	blackberry-ha
@marielmendoza  its just the way to go now a days  plus blackberry messenger is fun and twitter on a blackberry is better interface	messenger-plus blackberry-messenger
right back to filling his blackberry with useless junk!	useless-junk
what a lovely morning in forks! off to search for my blackberry and maybe jacob	lovely-morning
@theengteacher ah yes it will ;) and welcome to the world of #blackberry and @socialscope  good night.... zzzzz	#blackberry-night good-night
my first tweet from my blackberry	first-tweet
@starss_182 how's iphone going? i guarantee you'll b on it for hours. i can't put my new toy down....my blackberry that is!!  x	going-i new-toy
@catrinamarie yes i know but i'm getting a job so i might get one but for now i'm satisfied with my blackberry flip	blackberry-flip
@maximel thanks. how do you twitpic with a blackberry	@maximel-thanks
just got a blackberry! i am so excited	blackberry-i
reply @djnuclear yeah i take naps-i don't sleep much! lol-cool ill ck it out. -i was setting this on my blackberry 2	reply-@djnuclear lol-cool-ck ill-ck
@matrixy your welcome  i was just talking about how i wished i could watch videos on my blackberry	welcome-i
@insearchofnkotb yay!  i will be glued to my blackberry.  ya'll have my number too!	@insearchofnkotb-i yay-i
@mzjay08 i think my blackberry is my first love!!	@mzjay08-i first-love
@tgoodrich860: try twittering from your wife's new blackberry bold using either ubertwitter or twitterberry app	new-blackberry ubertwitter-app
@youngacelx ii love my blackberry..lol..iits my life	@youngacelx-ii
@lucykd dsi is the latest nintendo ds with 2 cameras + stuff built in. we are a gadget house. luckily i get my blackberrys free from work	ds-latest nintendo-ds +-stuff gadget-house
@dr_ill i &lt;3 my blackberry	@dr_ill-< i-<
@vixster25 internet 1 drawing 0 ....damn i'm backing up blackberry files which could take hours  then to the drawing preps done	@vixster25-internet blackberry-files preps-drawing
@staceysjustfab blackberry messenger rocks! its basically im-ing with other bb users that u add	blackberry-rocks messenger-rocks basically-im-ing other-users bb-users
and here goes my first twitter from #twitterberry application from my #blackberry bold 9000..  cheers	first-twitter #twitterberry-application #blackberry-cheers bold-cheers 9000-cheers
dad just gave me his old blackberry. not that old... but it doesn't even have a scroll ball. i want that bold.	old-blackberry scroll-ball
watching snl with my ucsd girls and laughing about twitter/blackberry jokes  thought i'd tweet that.	ucsd-girls twitter/blackberry-jokes
lovin' my new blackberry	new-blackberry
http://bit.ly/qipuu  jon 4 lakers video blackberry	http://bit.ly/qipuu-jon video-blackberry
is looking at a blackberry curve 8900	blackberry-curve
@renato71 blackberry	@renato71-blackberry
lovin my new blackberry	new-blackberry
i just sign on to twitter! looking forward to learning more and making friends on twitter. i using the blackberry storm wish me luck.	twitter-i blackberry-storm
@cheerioo i cannot wait until i get my blackberry!!!  my phone sucks ass	@cheerioo-i
getting my new blackberry next week... yay finally!	new-blackberry next-week
ad: sugarsync now has support for blackberry as well. it's perfect for busy execs  all files on the go... http://is.gd/zl5k	sugarsync-http://is.gd/zl5k busy-execs
thinking someone needs to get him a blackberry. for once i am for celebrity power haggles.. go mr.h go!	someone-needs celebrity-haggles power-haggles
hi mr blackberry1	hi-blackberry1 mr-blackberry1
sugarsync now has support for blackberry as well. it's perfect for busy execs  all files on the go... http://is.gd/zqcg ad:	http://is.gd/zqcg-ad
@scott_herman just helped my friend - same problem. go to ebay - buy it now section - batteries $5 for your blackberry 8830. good luck!	same-problem batteries-$ 5-$ blackberry-8830 good-luck
@myblackberry yep	@myblackberry-yep
wooooo blackberry	wooooo-blackberry
using #blackberry messenger process to dodge certain things http://bit.ly/dr99m &lt; only in america  (first i've read anyway!)	#blackberry-process messenger-process certain-things first-i
@saralhvalo i'm on my blackberry so can't. however i still fail to see the funny or magnificent side to it haha	funny-side
@nicolerichie dont u have an old phone to use today? and tomorrow u will buy a new blackberry!	@nicolerichie-u dont-u old-phone tomorrow-u new-blackberry
is completely in love with his blackberry. he hopes that you know this now.  [http://ping.fm/ealvr]	http://ping.fm/ealvr--RSB-
oh yeah is it me or has anyone experienced a faulty battery on their new cellphone? i loveeee my blackberry but omfg new battery needed	oh-yeah faulty-battery new-cellphone blackberry-battery new-battery
@jeannebehr i'm on my blackberry so can't listen to the link but if it's shattered dreams ur right!	@jeannebehr-i dreams-shattered right-dreams
@leighrowan because your positive energy is so contagious. most of my follows don't come to my	positive-energy
@inelsie phone too blackberryyyy sex much. i'm glad the internet works now! you're gonna love being able to tweet whenever you want ha!	@inelsie-phone
my first tweet via blackberry curve!	first-tweet blackberry-curve
@alex_mccoy aha obviously  and you best take me blackberry picking too with claudia. i always thought it was an american thing? ah well	claudia-i american-thing
blackberry storm out! hello curve! my new best friend! this phone rocks so far!!!!!  http://myloc.me/15ha	blackberry-storm storm-out hello-curve my-friend new-friend friend-best
@motley1981 take your finger off the &quot;z&quot; button of your blackberry!!	z-button
stupid f**king space button tweaking out on me. going to have to call verizon again and get yet another free blackberry.  i'm spoiled!!	space-tweaking button-tweaking free-blackberry
@thedavidblaise welcome to the blackberry world	blackberry-world
@zoernert cheers.iphone usage via roaming will be too expensive for twittering @iod2009 so it will be macbook and blackberry via wifi!	@zoernert-usage cheers.iphone-usage
@dragonsinger57 i think you need to talk @ghozali about blackberry devices in nz	@dragonsinger57-i blackberry-devices
home dinosaurs blackberry and say a command.  something about dinos still. what not. hello hello.	home-dinosaurs command-something
@lucykd get a blackberry with qwerty keyboard next time... we even do apps for the medical profession	qwerty-keyboard medical-profession
@phineazzphat my bad sweetie  i had some sillyness going on with my blackberry so i couldn't reply	bad-sweetie
tryn to get at&amp;t to swap out my blackberry for a dif phone. i hate that peice of crap. and watchin repo	dif-phone
will sleep now. will dream about that blackberry. and will pray that i get a good mark for organic chem tomorrow.	good-mark organic-tomorrow chem-tomorrow
im supposed to be saving for europe. so what am i doing tonight? oh right- buying a new blackberry. stupid impulse buys!	tonight-oh new-blackberry stupid-impulse
@starmari i have a blackberry	@starmari-i
@jjluver756 haha! yeah. lol. its catchy haha.  i am the next blackberry in line. new product joshberry. haha. lets freaking chat!	@jjluver756-haha catchy-haha next-blackberry new-joshberry product-joshberry
@geetee808 im blackberry fresh for communication actions	@geetee808-im fresh-im communication-actions
just found out how to update to twitter using my blackberry. oh damn! i can update all the time now	oh-damn
refreshed and playing with my blackberry i love it	blackberry-love i-love
tomorow big family celebratoin .. and all because me! xd &lt;3 i love it  .. hope i get a blackberry curve 8310	tomorow-family big-family
#zomg i went to the docomo shop to sign up to get the #blackberry bold	i-#zomg docomo-shop
@noelclarke blackberry all the way	@noelclarke-blackberry
http://twitpic.com/5oocz - blackberry cameras such...but have you ever seen such an eruption of handsomeness?? and i'm there too!	blackberry-cameras
@thisisumair i'm jealous off: ur	@thisisumair-i
@happyraylene she can't read korean cuz she's on blackberry now	korean-cuz
work grind... 2 fingers 2 the sky &amp; i aint saying peace! outasight is blasted on the ipod. trying not to toss my blackberry @ anyone  lol	i-saying aint-saying @-lol anyone-lol
@pinkberrygirl thanks for the #followfriday shout #blackberry	#followfriday-#blackberry shout-#blackberry
playin with my new blackberry and getting ready to watch failure to launch!	new-blackberry
apparently i can call anyone from the facebook blackberry app who has their number on facebook...  this could be fun	facebook-app blackberry-app
@blackberrytheme absolutely - what is a summer blockbuster flick without a blackberry theme to go along with it?	summer-flick blockbuster-flick blackberry-theme
i'm just thinking out loud -- what is with so many people having blackberry's? not that i have anything against it. just wondering.	many-people blackberry-'s
@dc5_1104 nice  i say hello too. i was unable to reply via the	@dc5_1104-i nice-i
will head to suntec atrium tonight for the blackberry event. cheaper accessories and good deals from m1	suntec-tonight atrium-tonight blackberry-event accessories-cheaper good-deals
loves twitter - wants a blackberry to twitter all the time	loves-twitter
watchin rachael ray on wheels...good stuff! coffeetime  i should get my new blackberry today yessssssssssss	watchin-ray rachael-ray wheels.good-i stuff-i coffeetime-i new-yessssssssssss blackberry-yessssssssssss today-yessssssssssss
i feel surprisingly accomplished today  i can't wait to get my blackberry today!!!!! twitterberry will probably be one of my first tasks!!	accomplished-today first-tasks
bought a blackberry curve 8310	blackberry-curve
loves her new blackberry.  4193502791	new-blackberry
thank you for the blackberry help @casualrepartee	blackberry-@casualrepartee help-@casualrepartee
@dtmcgraw hmm... and your next switch? blackberry --&gt; iphone.  just sayin'. right	@dtmcgraw-hmm next-switch >-iphone
i'm selling a 2 month old sprint blackberry curve. who's gonna get it? i've got two batteries	old-sprint blackberry-curve
@thehillers that's it! i've got several versions of the mummers dance on my	several-versions mummers-dance
i am in love with my new blackberry!	new-blackberry
@supricky06 i have a blackberry	@supricky06-i
just got the blackberry today  i love it	blackberry-love i-love
@ritalucero haha! blackberry messages is the first thing i thought of	@ritalucero-haha first-thing
sitting at st. ann's trying to figure out how to use the blackberry storm.	st.-ann blackberry-storm
t-moblie f*cking stinkssss goddamnit always trouble but ..... i want a blackberry curveee	t-moblie-stinkssss f*cking-stinkssss blackberry-curveee
@fn_cager nice bold. i didn't know you owned a blackberry. rest assured	rest-assured
i'm really missing my blackberry  lol car needs fixing	blackberry-needs lol-needs car-needs
just tweeting from my friends blackberry...i need one!	tweeting-blackberry.i
buttt i am very excited because my new blackberry should be here tomorrow! i hope it comes before i go to work...  work from 12-8:30	new-blackberry
btw: i have the blackberry 7290	blackberry-7290
@nmiko seen many people cluthing blackberry bolds around holland v	many-people blackberry-bolds holland-v
very nice weather today! goodbye blackberry storm	nice-weather goodbye-storm blackberry-storm
@jefflail neither....blackberry	@jefflail-neither.blackberry
@rawrrgasmic hi! am tweeting in the sun! good ol blackberry	@rawrrgasmic-hi sun-blackberry good-blackberry ol-blackberry
playing with my new blackberry while justin is driving to pa...	new-justin blackberry-justin while-justin
ahh man too many bbq smells wafting thru bakdoor urging me not to revise but i must...get above a d = blackberry  ...easy enuf? not!	ahh-man many-bbq d-blackberry =-blackberry easy-enuf
sii funciooona!! definitivamente amor mi blackberry more than everything!! excepto mi mami	sii-funciooona amor-mi mi-more excepto-mami mi-mami
@whitneyeve hey whitney! i met you at saks during winter break and you signed my blackberry  i can't wait till the city comes on! xoxo	hey-whitney saks-xoxo winter-break blackberry-i
at the local farmers market! going to buy some blackberrys!!!	local-farmers
download the i love blackberry app from crackberry.com it tells u how lond and how much u use ur bb very scary stuff i tell ya	blackberry-app u-bb use-bb ur-bb scary-bb
the blackberry bliss at jamba is pretty good!	blackberry-bliss
blackberry's back!  tay's baby shower	blackberry-'s baby-shower
@therealluis blackberrys are osm! i have one  luv it.	@therealluis-blackberrys
finally got my blackberry 2 stop freezing! (knock on wood) it is so aggravating when it does that...headed out to get dessert w/ my mom	blackberry-stop dessert-/ w-/
@howardsis yeah i don't know why we kept getting disconnected but i'm inclined to think it's your blackberry &amp; not my iphone  love ya!	iphone-ya love-ya
frozeen yogurth of blackberry &amp; strawberry!? soo delicioous!	frozeen-yogurth blackberry-soo
@donniescupcake  yeah i always tweet and drive  hahah i just got the blackberry like 3weeks ago love it its my life hahaa	my-hahaa life-hahaa
just won my first blackberry on ebay	first-blackberry
got twitter on my blackberry. hopefully i can use this for some good!	hopefully-i
@jdwright25 almost correct. either blackberry or my trips to other countries	other-countries
gues pray i gt my blackberry 8900 curve..........within a week or so ...........plzzzzzzzzzzzzzzzz..................	gt-plzzzzzzzzzzzzzzzz curve.within-plzzzzzzzzzzzzzzzz blackberry-curve.within
@nana_mex i am sure we could get a customised font onto a blackberry for you! we have fabulous developers for the blackberry on twitter	customised-font fabulous-developers
@ashleyltmsyf http://twitpic.com/5e0qw - blackberry on the floor haha  x	floor-haha
@denicewim  yay when i get my blackberry back ill bbm you lol	@denicewim-yay
@timmygrunt now....i cant follow from the blackberry it says forbidden function when i click it.	@timmygrunt-cant now.i-cant
@adeline_goh thx for having us at the blackberry show adeline!  storm rulez!	@adeline_goh-thx storm-rulez
i shall leave now  will be back later. might tweet from sister's blackberry but i'm crap at using it. i'll decide :p laterss x	:p-laterss
@gazza_2505 thanks!  you decided on blackberry v's iphone yet? probs best to go in to phone shop and have a play about with both?	blackberry-v phone-shop
@areyoupromise it's called tethering-google tethering iphone or tethering blackberry	tethering-google-iphone iphone-tethering blackberry-tethering
message me on blackberry messenger my pin is   305ecadd   on the motorcycle racing the wind chasing the sunset living the dream	blackberry-messenger
my grandson...41/2   sent from my blackberry® smartphone with sprintspeed - http://twitpic.com/6c3rc	grandson-.41 blackberry-smartphone ®-smartphone
finalleeehhh downloaded tetris for blackberry  thanks to benny chow	downloaded-tetris blackberry-thanks benny-chow
guess who finally has a new blackberry?	new-blackberry
@corvida  thanks for the link to @topify.  it actually has made things easier.  i can now block spammers from the blackberry!	@corvida-thanks
is anticipating the arrival of his new blackberry  yay	new-yay blackberry-yay
is getting a blackberry storm. that's the final decision  and ohh.. got my shopping spree for this month! haha. so	final-decision shopping-spree
@hitekdude yeah i've heard and seen a production of it but i could never depart with my blackberry i rather have the zune hd	@hitekdude-yeah zune-hd
@blackberrysync love the banner placement as well  time to make money	banner-placement
@robleavy i know several people ready to trade in their blackberrys for iphones.  several excellent twitter apps available for iphone	several-people several-apps excellent-apps twitter-apps available-apps
@mgph3nom chilling on twitter via my spanking new blackberry w/ unlimited internet : http://tr.im/mzvc	spanking-w new-w blackberry-w unlimited-internet
contemplating whether or not to turn in my blackberry pearl for 60 swagbucks!!	blackberry-pearl
my new blackberry is great ! thx mamah	new-blackberry
@newgadgetsguru haha kepo abit. i don't know much about	@newgadgetsguru-i haha-i kepo-i abit-i
good night world. going to fall asleep with my puppy and my blackberry in my ear.	good-night
i am the proud owner of a blackberry bold.	proud-owner
i want my cell phone back  its still broken... but  at my birthday im going to buy a new one  this time i think it will be a blackberry	cell-phone still-im broken-im new-one
got my blackberry storm updated to the new version &amp; hope there are no issues	blackberry-updated storm-updated new-version
thinking about converting some of my drawings into iphone/blackberry wallpaper	iphone/blackberry-wallpaper
ad: sugarsync now has support for blackberry as well. it's perfect for busy execs  all files on the go... http://is.gd/lq3a	sugarsync-http://is.gd/lq3a busy-execs
that was my first post with my blackberry.	first-post
@karamelly no more sk for meeeeee. blackberry now	sk-more
@blam please tell me the new blackberry &quot;tour&quot; is coming out soon.  an exact date would be appreciated. thanks!	new-tour blackberry-tour exact-date
is going to attack the jungle of blackberry vines in the upper corner of his back yard.  i came across a spray kills them dead	blackberry-vines upper-corner
eating and unpacking some more. got a blackberry today!	blackberry-today
blackberry troubles all over.. fortunately enough i don't have one! my htc touch works fine	blackberry-troubles htc-touch
@brianzimmel seth said i should tweet you to find out about the blackberry storm! i'm interested in getting one!	@brianzimmel-seth blackberry-storm
got the wet dream vol. 1 mixtape on my blackberry listening to it at work.	wet-mixtape dream-mixtape vol-mixtape blackberry-listening
needs everyone's pin # because i have a blackberry now  yay! i have 6 people so far... haha!	needs-everyone blackberry-haha
@poshy what no rim?  you know your in blackberry country now right?	blackberry-country
@mrfresh0587 yeah. get a blackberry	@mrfresh0587-yeah
@saphotoz @ryan_adt @epicsoul @saintfjr @silvarose23 i have a blackberry curve but no data plan!  will get the bold in august!	@saphotoz-@silvarose23 @ryan_adt-@silvarose23 @epicsoul-@silvarose23 @saintfjr-@silvarose23 blackberry-curve data-plan
i would be completely lost if i didn't have this phone! blackberry bold... get one and be bold ppl	bold-blackberry bold-ppl
saying goodbye to my world edition blackberry and going back to the curve	world-edition
july 6th...blackberry storm	july-6th blackberry-storm
you know it's the end of the year when you forget to write in paragraphs. @caseycabot yay! can't wait!  how's the blackberry?	@caseycabot-yay
http://twitpic.com/6fviy - blackberry photo!	blackberry-photo
my bbm is popin right now!!! pin me folks and join in...this is a blackberry user exclusive tho all the rest are lame	blackberry-tho user-tho exclusive-tho
@lacoacha my blackberry is pink also!!!  p.s. i got ur email. i'll get back to you tomorrow!	p.s.-i ur-i email-i
testing out this snap2twitter app for my new blackberry curve.. this is only a test..  http://sml.vg/srwxvz	snap2twitter-app new-http://sml.vg/srwxvz
barackberry (&quot;first blackberry&quot;) is funny  http://firstblackberry.com	first-blackberry funny-http://firstblackberry.com
anybody selling a blackberry curve for t-mobile? i just want a blackberry with wifi!  you have to be local in oc&amp;maybe la though	blackberry-curve
@siviwekwatsha or the #blackberry storm.. @shebeegee here's your reminder	#blackberry-storm @shebeegee-@siviwekwatsha
@joia too much tech in my life. tried to make that a smart-phone joke in my head. (see urbandictioanry re blackberry jam	smart-phone-joke re-jam blackberry-jam
too lazy to type from my blackberry sooo...  hi!  working again and goofing off on my laptop	blackberry-sooo
i'm on my blackberry bitches  and its currently charging :p	blackberry-bitches
@hatsuseno and i will have my blackberry diamond	blackberry-diamond
